1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
187	-1.196565	49.701787	48.083731	0.002865	11
188	-1.220905	50.700465	47.413998	0.001615	11
189	-1.204897	50.740757	47.387369	0.001793	11
190	-1.218790	50.634357	47.457754	0.002488	11
191	-1.208469	50.576522	47.496101	0.001789	11
192	-1.218896	50.469859	47.566985	0.002010	11
193	-1.227383	50.416673	47.602410	0.001286	11
194	-1.190143	51.029709	47.197271	0.004195	11
195	-1.207052	50.926226	47.265176	0.001402	11
196	-1.205591	50.906113	47.278396	0.001945	11
197	-1.208350	50.822023	47.333751	0.003078	11
198	-1.206090	50.758854	47.375418	0.002288	11
199	-1.199650	50.651737	47.446243	0.003444	11
200	-1.193677	50.545581	47.516641	0.004498	11
201	-1.207657	51.544264	46.862502	0.001841	11
202	-1.228742	52.024789	46.554133	0.004744	11
203	-1.189313	51.917594	46.622571	0.003066	11
204	-1.205416	51.810400	46.691211	0.002546	11
205	-1.240434	52.607650	46.185495	0.003031	11
206	-1.206651	53.432591	45.673618	0.003216	11
207	-1.198084	53.331020	45.736029	0.002446	11
208	-1.217451	53.378604	45.706769	0.002796	11
209	-1.207220	53.271410	45.772737	0.003324	11
210	-1.220676	54.271014	45.164872	0.003178	11
211	-1.237120	55.061272	44.695620	0.001869	11
212	-1.249232	56.061024	44.115761	0.002658	11
213	-1.221869	55.971243	44.167219	0.002831	11
214	-1.219673	55.864079	44.228797	0.003482	11
215	-1.174552	55.756884	44.290564	0.002109	11
216	-1.186035	56.756829	43.720992	0.002888	11
217	-1.203416	56.765155	43.716311	0.002771	11
218	-1.237148	57.760099	43.164061	0.003117	11
219	-1.224371	58.712906	42.648122	0.002857	11
220	-1.247153	59.706304	42.123174	0.002064	11
221	-1.178133	59.969794	41.986098	0.002908	11
222	-1.231208	59.866124	42.039924	0.002043	11
223	-1.221732	59.758944	42.095718	0.002667	11
224	-1.214560	60.151422	41.892127	0.001903	11
225	-1.216548	60.085541	41.926164	0.002116	11
226	-1.205604	60.204794	41.864594	0.003905	11
227	-1.217161	60.112250	41.912359	0.002396	11
228	-1.223452	60.005060	41.967819	0.004040	11
229	-1.216384	61.002845	41.457168	0.002688	11
230	-1.206469	62.002809	40.957719	0.003113	11
231	-1.225945	61.895629	41.010675	0.003736	11
232	-1.219193	62.895629	40.521845	0.002600	11
233	-1.225089	63.895629	40.044532	0.003405	11
234	-1.219759	64.895582	39.578353	0.002379	11
235	-1.204786	65.893611	39.123771	0.001988	11
236	-1.236874	65.787532	39.171591	0.004776	11
237	-1.210364	66.787528	38.725384	0.002735	11
238	-1.233604	67.787528	38.289226	0.003062	11
239	-1.223275	68.766585	37.871617	0.001946	11
240	-1.209264	68.774830	37.868139	0.003288	11
241	-1.189809	69.406484	37.603561	0.002005	11
242	-1.234986	69.300012	37.647899	0.002940	11
243	-1.224248	69.192819	37.692643	0.002418	11
244	-1.236315	69.086119	37.737287	0.001714	11
245	-1.252699	69.239086	37.673317	0.004289	11
246	-1.213841	69.131894	37.718121	0.003149	11
247	-1.261091	69.024707	37.763030	0.003285	11
